Fecha;Hora;Documento;Cliente;Nombre;Tipodoc;Usuario;Accion;Estado
20150603;1100;796715;300056;PROMOCIONES YERBA SARA;1;sbengoa;1;1
20150603;1100;796715;300056;PROMOCIONES YERBA SARA;1;sbengoa;2;1
20150603;1100;796715;300056;PROMOCIONES YERBA SARA;1;sbengoa;9;29
20150603;1101;796715;300056;PROMOCIONES YERBA SARA;1;Cron;17;49
20150603;1154;796715;300056;PROMOCIONES YERBA SARA;1;Cron;19;59
20150603;1154;796715;300056;PROMOCIONES YERBA SARA;1;Cron;20;59
20150603;1154;796715;300056;PROMOCIONES YERBA SARA;1;amartucc;21;69
20150604;1011;796980;300056;PROMOCIONES YERBA SARA;1;jalonso;1;1
20150604;1011;796980;300056;PROMOCIONES YERBA SARA;1;jalonso;2;1
20150604;1011;796980;300056;PROMOCIONES YERBA SARA;1;jalonso;4;1
20150604;1012;796980;300056;PROMOCIONES YERBA SARA;1;jalonso;9;29
20150604;1013;796980;300056;PROMOCIONES YERBA SARA;1;Cron;17;49
20150605;822;796980;300056;PROMOCIONES YERBA SARA;1;Cron;19;59
20150605;822;796980;300056;PROMOCIONES YERBA SARA;1;Cron;20;59
20150605;848;796980;300056;PROMOCIONES YERBA SARA;1;amartucc;21;69
20150608;1118;797310;300056;PROMOCIONES YERBA SARA;1;rgonzale;1;1
20150608;1119;797310;300056;PROMOCIONES YERBA SARA;1;rgonzale;2;1
20150608;1120;797310;300056;PROMOCIONES YERBA SARA;1;rgonzale;9;29
20150608;1121;797310;300056;PROMOCIONES YERBA SARA;1;Cron;17;49
20150608;1243;797321;300056;PROMOCIONES YERBA SARA;1;sbengoa;1;1
20150608;1243;797321;300056;PROMOCIONES YERBA SARA;1;sbengoa;2;1
20150608;1243;797321;300056;PROMOCIONES YERBA SARA;1;sbengoa;9;29
20150608;1244;797321;300056;PROMOCIONES YERBA SARA;1;Cron;17;49
20150609;836;797310;300056;PROMOCIONES YERBA SARA;1;Cron;19;59
20150609;836;797310;300056;PROMOCIONES YERBA SARA;1;Cron;20;59
20150609;836;797321;300056;PROMOCIONES YERBA SARA;1;Cron;19;59
20150609;836;797321;300056;PROMOCIONES YERBA SARA;1;Cron;20;59
20150609;857;797321;300056;PROMOCIONES YERBA SARA;1;amartucc;21;69
20150609;857;797310;300056;PROMOCIONES YERBA SARA;1;amartucc;21;69
20150612;728;798173;300056;PROMOCIONES YERBA SARA;1;rgonzale;1;1
20150612;730;798173;300056;PROMOCIONES YERBA SARA;1;rgonzale;2;1
20150612;730;798173;300056;PROMOCIONES YERBA SARA;1;rgonzale;9;29
20150612;731;798173;300056;PROMOCIONES YERBA SARA;1;Cron;17;49
20150612;900;798173;300056;PROMOCIONES YERBA SARA;1;Cron;19;59
